start_time,time,mode,voltage_charger,temperature_battery,voltage_load,current_load,temperature_mosfet,temperature_resistor,mission_type
2022-08-09 13:31:00,0.0,0.0,0.0,0.0,,,,,
2022-08-09 13:31:00,92.63,0.0,8.353,22.35,,,,,
2022-08-09 13:31:00,185.601,0.0,8.353,22.48,,,,,
2022-08-09 13:31:00,278.692,0.0,8.353,22.377,,,,,
2022-08-09 13:31:00,374.465,0.0,8.353,22.584,,,,,
2022-08-09 13:31:00,468.926,0.0,8.353,22.381,,,,,
2022-08-09 13:31:00,563.442,0.0,8.353,22.32,,,,,
2022-08-09 13:31:00,658.37,0.0,8.352,22.327,,,,,
2022-08-09 13:31:00,753.5690000000001,0.0,8.351,22.358,,,,,
2022-08-09 13:31:00,847.26,0.0,8.353,22.389,,,,,
2022-08-09 13:31:00,942.248,-1.0,8.02,22.856,8.295,2.5210000000000004,25.92,25.35,0.0
2022-08-09 13:31:00,1037.408,-1.0,7.943,23.047,8.216000000000001,2.5210000000000004,25.44,23.55,0.0
2022-08-09 13:31:00,1132.621,-1.0,7.906000000000001,23.247,8.177,2.5210000000000004,25.3,23.08,0.0
2022-08-09 13:31:00,1227.762,-1.0,7.879,23.37,8.149,2.52,25.2,22.98,0.0
2022-08-09 13:31:00,1322.914,-1.0,7.854,23.608,8.123,2.52,25.25,22.97,0.0
2022-08-09 13:31:00,1418.182,-1.0,7.827000000000001,23.782,8.096,2.52,25.23,22.92,0.0
2022-08-09 13:31:00,1513.347,-1.0,7.79,23.928,8.058,2.5210000000000004,25.14,22.97,0.0
2022-08-09 13:31:00,1608.7569999999998,-1.0,7.737999999999999,24.098000000000003,8.004,2.52,25.1,22.9,0.0
2022-08-09 13:31:00,1705.447,-1.0,7.673999999999999,24.198,7.937,2.52,25.03,22.84,0.0
2022-08-09 13:31:00,1802.956,-1.0,7.61,24.314,7.871,2.52,24.99,22.9,0.0
2022-08-09 13:31:00,1899.597,-1.0,7.556,24.345,7.815,2.52,24.99,22.91,0.0
2022-08-09 13:31:00,1996.315,-1.0,7.51,24.395,7.768,2.52,24.98,22.87,0.0
2022-08-09 13:31:00,2092.97,-1.0,7.468999999999999,24.469,7.725,2.5210000000000004,24.94,22.89,0.0
2022-08-09 13:31:00,2189.607,-1.0,7.427,24.542,7.682,2.52,24.95,22.85,0.0
2022-08-09 13:31:00,2286.305,-1.0,7.38,24.593000000000004,7.633999999999999,2.52,24.87,22.82,0.0
2022-08-09 13:31:00,2382.976,-1.0,7.33,24.635,7.582999999999999,2.5210000000000004,24.88,22.88,0.0
2022-08-09 13:31:00,2479.669,-1.0,7.278,24.666,7.529,2.52,24.84,22.85,0.0
2022-08-09 13:31:00,2576.371,-1.0,7.224,24.728,7.473,2.5210000000000004,24.93,22.89,0.0
